Age,Work_Experience,Family_Size,Gender_Female,Gender_Male,Ever_Married_No,Ever_Married_Yes,Graduated_No,Graduated_Yes,Profession_Freq,Spending_Score_Freq,Category_Freq,Segmentation_Freq
22,1.0,4.0,False,True,True,False,True,False,1750,6494,1475,3027
38,1.0,3.0,True,False,False,True,False,True,935,2599,1475,2818
67,1.0,1.0,True,False,False,True,False,True,935,6494,7018,2408
67,0.0,2.0,False,True,False,True,False,True,844,1602,7018,2408
40,1.0,6.0,True,False,False,True,False,True,1250,1602,7018,2818
56,0.0,2.0,False,True,False,True,True,False,3480,2599,7018,2442
32,1.0,3.0,False,True,True,False,False,True,1750,6494,7018,2442
33,1.0,3.0,True,False,True,False,False,True,1750,6494,7018,3027
61,0.0,3.0,True,False,False,True,False,True,935,6494,269,3027
55,1.0,4.0,True,False,False,True,False,True,3480,2599,7018,2442
26,1.0,3.0,True,False,True,False,False,True,935,6494,7018,2818
19,4.0,4.0,False,True,True,False,True,False,1750,6494,1475,3027
19,0.0,4.0,True,False,True,False,True,False,775,6494,1089,3027
70,1.0,1.0,False,True,False,True,True,False,844,6494,7018,2818
58,0.0,1.0,True,False,False,True,True,False,930,6494,1089,2408
41,1.0,2.0,True,False,True,False,True,False,1750,6494,167,2442
32,9.0,5.0,True,False,True,False,True,False,328,6494,1089,3027
31,1.0,6.0,False,True,True,False,True,False,1750,6494,7018,2408
58,1.0,4.0,False,True,False,True,False,True,1250,2599,7018,2408
79,0.0,1.0,True,False,False,True,False,True,3480,1602,7018,2442
49,12.0,1.0,False,True,False,True,False,True,328,6494,1089,2818
18,3.0,4.0,True,False,True,False,True,False,1750,6494,7018,3027
33,13.0,2.0,False,True,False,True,False,True,3480,6494,1089,2818
36,5.0,2.0,True,False,True,False,False,True,3480,6494,7018,2408
58,1.0,3.0,True,False,True,False,True,False,775,2599,1089,2408
56,1.0,3.0,False,True,False,True,True,False,3480,2599,7018,2442
31,9.0,8.0,False,True,True,False,True,False,1750,6494,1475,2818
49,1.0,3.0,False,True,False,True,False,True,3480,2599,7018,2442
35,0.0,1.0,False,True,True,False,False,True,3480,6494,7018,2408
35,5.0,4.0,True,False,True,False,True,False,3480,6494,7018,2442
45,0.0,3.0,True,False,False,True,False,True,3480,6494,7018,2442
42,1.0,2.0,True,False,False,True,True,False,930,6494,1475,2818
19,1.0,3.0,False,True,True,False,True,False,1750,6494,563,3027
26,9.0,3.0,False,True,True,False,True,False,328,6494,7018,3027
83,1.0,2.0,True,False,False,True,True,False,844,1602,7018,3027
27,3.0,4.0,True,False,True,False,False,True,1750,6494,167,3027
32,5.0,1.0,False,True,True,False,True,False,930,6494,1475,3027
28,1.0,5.0,True,False,False,True,True,False,1750,2599,1089,3027
28,8.0,2.0,True,False,False,True,False,True,3480,6494,7018,2818
56,1.0,2.0,False,True,False,True,False,True,3480,2599,7018,2442
47,4.0,1.0,True,False,True,False,False,True,3480,6494,7018,2408
22,0.0,2.0,True,False,True,False,True,False,1750,6494,7018,3027
27,14.0,3.0,True,False,True,False,False,True,3480,6494,7018,2818
49,1.0,2.0,True,False,False,True,False,True,3480,6494,7018,2442
40,8.0,1.0,False,True,False,True,True,False,935,6494,7018,2818
79,1.0,2.0,True,False,False,True,True,False,844,1602,7018,2818
41,0.0,4.0,False,True,False,True,False,True,3480,2599,1475,2408
29,1.0,1.0,True,False,True,False,False,True,1750,6494,269,2818
19,0.0,4.0,False,True,True,False,True,False,1750,6494,7018,3027
45,1.0,1.0,True,False,True,False,False,True,935,6494,7018,2818
61,1.0,2.0,True,False,False,True,True,False,3480,2599,563,2408
36,1.0,2.0,True,False,False,True,False,True,3480,2599,7018,2442
40,1.0,1.0,False,True,False,True,False,True,3480,6494,1089,2818
57,0.0,2.0,True,False,False,True,False,True,1250,2599,7018,2442
76,1.0,1.0,False,True,False,True,True,False,403,6494,1475,2818
32,14.0,2.0,False,True,False,True,False,True,3480,2599,7018,2408
25,9.0,4.0,False,True,True,False,False,True,1750,6494,7018,3027
32,8.0,2.0,False,True,True,False,False,True,930,6494,7018,3027
45,1.0,3.0,True,False,False,True,False,True,3480,2599,1089,2442
72,1.0,3.0,False,True,False,True,False,True,844,6494,1475,3027
48,0.0,2.0,False,True,False,True,False,True,3480,2599,7018,2442
55,9.0,2.0,False,True,False,True,False,True,3480,2599,167,2442
74,0.0,3.0,False,True,False,True,False,True,844,1602,7018,3027
56,1.0,2.0,False,True,False,True,False,True,844,1602,7018,2818
59,7.0,2.0,False,True,False,True,False,True,844,1602,7018,2818
25,0.0,2.0,False,True,True,False,False,True,1250,6494,7018,2818
31,0.0,2.0,False,True,False,True,False,True,930,2599,7018,2818
27,8.0,4.0,False,True,True,False,True,False,3480,6494,7018,2818
57,0.0,4.0,False,True,False,True,False,True,3480,2599,7018,2408
39,1.0,2.0,True,False,False,True,False,True,328,1602,7018,2818
27,8.0,2.0,False,True,False,True,False,True,1750,6494,7018,3027
51,8.0,2.0,True,False,False,True,False,True,1250,2599,7018,2818
47,0.0,5.0,True,False,False,True,True,False,3480,2599,7018,2408
33,8.0,4.0,True,False,True,False,True,False,1750,6494,7018,3027
56,0.0,4.0,False,True,False,True,False,True,3480,2599,7018,2442
33,0.0,3.0,True,False,True,False,True,False,328,6494,7018,2408
36,0.0,2.0,True,False,True,False,False,True,930,6494,7018,3027
51,4.0,3.0,False,True,False,True,True,False,3480,6494,1475,2818
45,2.0,2.0,False,True,False,True,False,True,935,2599,7018,2442
49,1.0,1.0,True,False,True,False,False,True,3480,6494,7018,3027
30,0.0,4.0,False,True,True,False,True,False,1750,6494,7018,2442
26,6.0,3.0,True,False,True,False,True,False,1750,6494,114,3027
63,8.0,1.0,False,True,False,True,False,True,3480,6494,7018,2818
35,8.0,4.0,False,True,False,True,True,False,1250,2599,1089,2408
19,1.0,3.0,True,False,True,False,True,False,403,6494,1475,2818
32,7.0,5.0,False,True,True,False,True,False,1750,6494,7018,3027
52,0.0,3.0,False,True,False,True,False,True,3480,2599,7018,2442
36,5.0,2.0,True,False,False,True,False,True,3480,6494,7018,2442
42,7.0,3.0,True,False,True,False,True,False,1250,6494,1475,3027
40,0.0,2.0,False,True,False,True,True,False,930,2599,1089,3027
39,0.0,3.0,False,True,True,False,False,True,1250,6494,167,2408
47,1.0,4.0,True,False,False,True,False,True,3480,2599,1089,2442
61,1.0,2.0,True,False,False,True,False,True,3480,1602,7018,2442
32,1.0,2.0,False,True,False,True,True,False,1250,6494,1089,3027
55,0.0,1.0,False,True,False,True,True,False,3480,6494,7018,2408
58,1.0,1.0,False,True,False,True,False,True,3480,2599,7018,3027
38,0.0,1.0,True,False,True,False,False,True,3480,6494,7018,3027
63,0.0,2.0,False,True,False,True,False,True,3480,1602,7018,2442
58,1.0,2.0,False,True,False,True,False,True,930,2599,7018,2442
30,3.0,3.0,False,True,False,True,True,False,935,2599,1475,3027
60,0.0,4.0,False,True,False,True,False,True,3480,2599,7018,2442
68,1.0,7.0,False,True,False,True,True,False,775,1602,7018,2408
52,0.0,3.0,False,True,False,True,True,False,3480,6494,1475,2818
38,0.0,5.0,False,True,False,True,True,False,775,1602,7018,2818
35,10.0,2.0,True,False,False,True,False,True,1750,6494,7018,2408
18,1.0,2.0,False,True,True,False,True,False,930,6494,7018,3027
30,3.0,2.0,False,True,False,True,False,True,328,6494,167,3027
86,1.0,1.0,False,True,True,False,True,False,844,6494,7018,3027
19,6.0,5.0,True,False,True,False,True,False,1750,6494,1089,3027
25,9.0,3.0,False,True,True,False,True,False,1750,6494,7018,3027
59,1.0,4.0,False,True,False,True,False,True,1250,6494,1475,2818
39,0.0,1.0,True,False,True,False,False,True,3480,6494,7018,2818
50,1.0,1.0,True,False,False,True,False,True,930,6494,7018,2408
47,1.0,1.0,False,True,True,False,False,True,3480,6494,7018,2442
43,0.0,3.0,False,True,False,True,False,True,775,1602,7018,3027
36,8.0,4.0,False,True,False,True,True,False,775,2599,167,2408
80,1.0,1.0,False,True,False,True,True,False,844,6494,7018,3027
36,0.0,2.0,False,True,True,False,False,True,3480,6494,563,2442
27,2.0,7.0,False,True,True,False,True,False,3480,6494,1475,3027
37,1.0,2.0,True,False,False,True,False,True,3480,1602,269,2818
46,0.0,3.0,False,True,False,True,False,True,775,1602,7018,2442
55,1.0,4.0,False,True,False,True,True,False,775,1602,1089,2408
47,9.0,4.0,True,False,False,True,True,False,935,2599,1475,2408
28,1.0,3.0,True,False,True,False,False,True,1750,6494,1089,3027
39,9.0,2.0,False,True,False,True,True,False,1250,6494,1089,3027
27,1.0,2.0,True,False,False,True,True,False,403,6494,7018,2818
42,0.0,2.0,True,False,False,True,True,False,935,6494,7018,2818
72,0.0,2.0,False,True,False,True,False,True,3480,2599,7018,2442
28,0.0,2.0,True,False,False,True,False,True,935,6494,7018,2818
35,8.0,5.0,False,True,True,False,False,True,1250,6494,7018,2442
39,9.0,5.0,False,True,False,True,False,True,775,1602,563,2818
69,0.0,2.0,True,False,False,True,False,True,844,1602,7018,2442
18,6.0,4.0,False,True,True,False,True,False,1750,6494,1475,3027
46,1.0,1.0,False,True,False,True,False,True,3480,6494,7018,2818
50,1.0,2.0,True,False,False,True,False,True,935,1602,1475,2408
30,5.0,5.0,False,True,True,False,True,False,775,6494,7018,2818
41,1.0,2.0,True,False,True,False,True,False,3480,6494,7018,2408
39,3.0,4.0,True,False,True,False,False,True,3480,6494,7018,3027
29,8.0,4.0,True,False,True,False,True,False,403,6494,7018,3027
37,4.0,4.0,True,False,False,True,False,True,3480,6494,114,2408
39,0.0,2.0,True,False,False,True,False,True,935,2599,7018,2818
48,0.0,5.0,True,False,False,True,False,True,3480,2599,269,2442
32,0.0,3.0,True,False,True,False,False,True,930,6494,7018,2442
78,1.0,3.0,False,True,False,True,True,False,844,6494,7018,2408
43,0.0,5.0,True,False,False,True,True,False,935,2599,1475,2408
29,8.0,5.0,False,True,True,False,True,False,403,6494,7018,2442
28,9.0,2.0,True,False,False,True,True,False,935,2599,1475,2818
80,1.0,1.0,False,True,False,True,False,True,844,6494,7018,2408
28,7.0,4.0,True,False,True,False,False,True,1750,6494,7018,3027
71,6.0,3.0,False,True,False,True,False,True,3480,2599,7018,2442
67,0.0,9.0,False,True,False,True,True,False,844,1602,1475,2818
26,0.0,1.0,True,False,True,False,True,False,935,6494,563,2818
47,0.0,2.0,True,False,False,True,False,True,935,2599,7018,2442
43,2.0,2.0,True,False,False,True,False,True,3480,2599,7018,2408
27,0.0,4.0,True,False,True,False,False,True,1750,6494,7018,2442
45,8.0,4.0,True,False,False,True,False,True,403,6494,7018,3027
76,1.0,1.0,False,True,False,True,True,False,775,6494,7018,2442
43,3.0,4.0,True,False,False,True,False,True,3480,2599,7018,2442
78,1.0,2.0,True,False,False,True,False,True,844,1602,7018,2408
35,3.0,3.0,False,True,False,True,False,True,3480,2599,7018,2442
49,1.0,1.0,True,False,True,False,False,True,3480,6494,7018,2442
25,1.0,5.0,True,False,True,False,False,True,1750,6494,7018,3027
37,0.0,5.0,False,True,False,True,True,False,775,2599,7018,2818
32,1.0,5.0,True,False,True,False,True,False,1750,6494,7018,2442
60,0.0,2.0,False,True,False,True,False,True,930,2599,7018,2442
45,5.0,3.0,True,False,False,True,False,True,3480,2599,7018,2442
49,9.0,3.0,True,False,False,True,False,True,328,2599,7018,2442
32,0.0,5.0,False,True,True,False,False,True,3480,6494,7018,3027
40,0.0,3.0,True,False,False,True,False,True,3480,6494,1089,2408
59,2.0,2.0,False,True,False,True,True,False,3480,2599,1475,2442
48,3.0,5.0,False,True,False,True,False,True,3480,6494,7018,2408
82,0.0,2.0,False,True,False,True,False,True,775,1602,7018,2442
70,0.0,2.0,True,False,False,True,False,True,844,6494,7018,2408
31,5.0,2.0,False,True,True,False,False,True,3480,6494,7018,2408
72,0.0,2.0,True,False,False,True,False,True,844,1602,7018,2442
50,3.0,4.0,False,True,False,True,False,True,3480,2599,7018,2442
23,11.0,1.0,True,False,True,False,True,False,935,6494,1089,3027
20,2.0,6.0,True,False,True,False,True,False,1750,6494,7018,3027
22,4.0,3.0,True,False,True,False,True,False,1750,6494,7018,3027
31,8.0,1.0,True,False,True,False,False,True,935,6494,7018,2818
36,7.0,2.0,True,False,False,True,False,True,3480,2599,7018,2442
52,1.0,5.0,False,True,False,True,True,False,1250,2599,1475,2408
29,1.0,1.0,True,False,True,False,False,True,3480,6494,1475,2408
40,4.0,4.0,False,True,False,True,False,True,3480,2599,7018,2442
40,1.0,1.0,True,False,True,False,False,True,3480,6494,7018,2818
38,1.0,2.0,False,True,False,True,False,True,3480,6494,7018,2442
85,1.0,2.0,True,False,False,True,True,False,844,6494,7018,2818
21,1.0,3.0,True,False,True,False,True,False,930,6494,269,2818
41,4.0,2.0,True,False,False,True,True,False,935,2599,7018,3027
40,0.0,2.0,False,True,False,True,False,True,3480,6494,7018,2408
53,1.0,3.0,False,True,False,True,False,True,3480,2599,7018,2408
